scenario_id,title,screen_kind,difficulty,operator,baseline_code_seconds,build_seconds,code_edited,completed,nl_attempted,nl_success,nl_failure_reason,takeover_attempted,takeover_completed,failure_diagnosed,diagnose_seconds,notes
S01,,목록,단순클릭,숙련,,,,,,,,,,,,
S02,,목록,조건부UI,숙련,,,,,,,,,,,,
S03,,목록,hover메뉴,처음,,,,,,,,,,,,
S04,,폼,단순클릭,숙련,,,,,,,,,,,,
S05,,폼,단순클릭,처음,,,,,,,,,,,,
S06,,폼,조건부UI,숙련,,,,,,,,,,,,
S07,,폼,조건부UI,처음,,,,,,,,,,,,
S08,,폼,hover메뉴,숙련,,,,,,,,,,,,
S09,,모달,단순클릭,숙련,,,,,,,,,,,,
S10,,모달,단순클릭,처음,,,,,,,,,,,,
S11,,모달,조건부UI,숙련,,,,,,,,,,,,
S12,,모달,조건부UI,처음,,,,,,,,,,,,
S13,,모달,hover메뉴,처음,,,,,,,,,,,,
S14,,새탭,단순클릭,숙련,,,,,,,,,,,,
S15,,새탭,단순클릭,처음,,,,,,,,,,,,
S16,,새탭,조건부UI,숙련,,,,,,,,,,,,
S17,,새탭,조건부UI,처음,,,,,,,,,,,,
S18,,새탭,hover메뉴,숙련,,,,,,,,,,,,
S19,,목록,조건부UI,처음,,,,,,,,,,,,
S20,,목록,hover메뉴,숙련,,,,,,,,,,,,
