item,scenario,step,what_to_check,verdict,observation,shot
S1-1,S1,1,"목록 TC-PASS 의 「⋮」에 「편집」이 있다 (「정의 보기」는 없다)",,,
S1-2,S1,2,"「편집」이 브라우저 창을 띄우지 않고 편집 화면을 연다 — 창 0개",,,
S1-3,S1,3-4,"값·대기시간을 고치면 상단이 「변경 저장 (1건)」 → 「변경 저장 (2건)」",,,
S1-4,S1,5,"저장 후 화면이 그대로이고 「✓ 저장했습니다 · TC-PASS」. 버튼은 「변경 저장」 비활성",,,
S1-5,S1,6,"정의 파일에 두 값이 반영되어 있다. 제목에 「초안」이 없다",,,
S2-1,S2,2-3,"결과 화면 「Step 06 고치기」가 편집 화면을 열고 Step 06 이 지목·펼쳐져 있다 (읽기 전용 아님)",,,
S2-2,S2,4,"대상 앱이 꺼져 있어도 저장된다",,,
S2-3,S2,5,"저장 확인줄 아래에 「Step 06부터 실행」·「처음부터 실행」이 있다",,,
S3-1,S3,2,"locator 표가 읽기 전용이고 「살아 있는 화면에서만 다시 집을 수 있습니다」 + 「브라우저 열어 Step 04 에서 멈추기」",,,
S3-2,S3,3,"Step 종류 칸에 「지우고 새로 넣으세요」",,,
S3-3,S3,4,"민감 참조 값 칸이 {{SECRET_VALUE_1}} 이고 평문이 어디에도 없다",,,
S3-4,S3,5,"그 칸에 평문을 넣어 저장하면 거절되고 비밀 값 화면을 가리킨다",,,
S3-5,S3,기대,"회색 버튼만 있는 자리가 없다 — 각 잠긴 항목이 이유를 말한다",,,
S4-1,S4,2,"「목록으로」에서 「저장하지 않은 변경 2건이 있습니다」 + 저장·버리기·머무르기",,,
S4-2,S4,3,"「버리고 나가기」 후 다시 열면 원본 그대로",,,
S4-3,S4,4,"고친 것이 없으면 확인 없이 바로 나간다",,,
S4-4,S4,5,"고친 뒤 F5 하면 브라우저 이탈 확인이 뜬다",,,
S4-5,S4,6,"고친 값 하나를 되돌리면 건수가 「변경 저장 (1건)」으로 준다",,,
S5-1,S5,3,"실행 중 편집을 누르면 화면은 열리고 읽기 전용 + 「실행 중이어서 편집할 수 없습니다」 + 「실행 중인 세션 보기」",,,
S5-2,S5,3,"그 문장에 세션 UUID 가 없다 (005 FR-135)",,,
S5-3,S5,4,"실행이 끝난 뒤 다시 「편집」 → 정상적으로 열린다",,,
S6-1,S6,3,"외부에서 정의가 바뀐 뒤 저장하면 「편집을 시작한 뒤에 바뀌었습니다」 + 두 선택지",,,
S6-2,S6,4,"「다시 읽기」가 버리는 편집 건수를 먼저 밝힌다",,,
S6-3,S6,5,"「덮어쓰기」는 내 편집이 이긴다. 조용히 덮어쓰지 않는다",,,
S7-1,S7,2-3,"브라우저가 뜨고 Step 01~05 가 실행된 뒤 Step 06 을 실행하기 전에 멈춘다 (배지 PAUSED)",,,
S7-2,S7,4,"「일시정지」를 누른 적이 없다 — E-06 해소 (SC-305)",,,
S7-3,S7,5-6,"「다시 집기」로 고쳐 저장하고, 나갔다 다시 열면 반영돼 있다 (FR-204)",,,
S8-1,S8,2,"저장하지 않은 변경이 있으면 먼저 저장을 요구하고 「저장하고 열기」를 준다",,,
S8-2,S8,3,"저장 후 세션이 열리고 세션의 정의와 화면의 정의가 같다",,,
RT-1,§4,왕복,"TC-FAIL Step 06 대기를 5000 으로 줄여 저장 → 실행 시간이 약 20초에서 약 5초로 준다 (SC-308)",,,
RT-2,§4,불변,"편집·저장 후 git diff 가 편집한 값만 보여준다 — 파일 전체 재배치 없음 (원칙 V)",,,
SC-302,전체,창수,"전 과정에서 뜬 브라우저 창의 총 개수 (§2 구간은 0 이어야 한다)",,,
