item,scenario,what_to_check,verdict,observation,shot
U-01,S1,"실패한 결과 화면에서 재실행이 시작된다 (거절 0건)",,,
U-02,S4,"부분 실행 요약의 분모가 attempted 다 — 0 / 7 이 아니다",,,
U-03-a,S3,"재실행하다 중지한 화면 제목이 「TC-nnn · 저장됨」이고 이름 입력칸·「저장」이 없다. 다음 행동 4개",,,
U-03-b,S3,"중지 직후 붉은 배너 0건. 종료 후 GET /api/sessions/*/tabs 요청 0건. 문구에 세션 UUID 없음",,,
U-04-a,S3,"실행이 끝나면 「…아직 실행 중입니다」가 사라진다",,,
U-04-b,S3,"미러 오버레이가 전이 중=「일시정지 중…」·종료 후=「실행 종료」. 배지와 같은 말",,,
U-04-c,S3,"「멈추기 전에 실행이 끝났습니다」에 실패 사유 + 「결과 자세히 보기」. 요약 중복 없음",,,
U-05,S3,"실패 Step 이 있는 재개가 조용히 지나가지 않는다 — 「계속하기」 비활성 + 이유",,,
U-06,S7,"같은 테스트의 세션이 여럿일 때 구분 정보가 있다",,,
U-09,S5,"저장 성공을 화면 이동 없이 안다 — 인라인 확인줄",,,
U-15,S7,"결과 화면 F5 → 같은 화면·같은 주소. 뒤로가기가 앱을 벗어나지 않는다",,,
U-24,S6,"정적 화면 세션에서 3초 안에 미리보기에 화면이 나온다",,,
N-01,S7,"(재점검 신규) 새로고침 상태 유실 — 자동 검증도 함께 지킨다",,,
N-02,S7,"(재점검 신규) 실행 종료 후 목록 행 칩이 저장된 결말이다. 배너와 같은 말. 「결과 보기」 있음",,,
N-03,S8,"(재점검 신규) 통과한 실행의 SCREENSHOT 탭이 긍정문이다",,,
N-04,S3-6,"(T125) 「실패한 Step 건너뛰고 계속」 → 결말이 「부분 성공」",,,
N-04-file,S3-6,"(T125) .runs/<테스트ID>/result.json 의 outcome 이 partial_pass 다",,,
N-06,S1,"(재점검 신규) Step 5개 녹화 후 정지 부제가 「Step 05 이후 정지」다",,,
